打开道具栏的快捷键组合是哪一个？|Alt+E|Alt+D|Alt+Q
打开区域地图的快捷键组合是哪一个？|Alt+D|Alt+E|Alt+Q
打开任务界面的快捷键组合是哪一个？|Alt+Q|Alt+E|Alt+D
打开宠物界面的快捷键组合是哪一个？|Alt+R|Alt+T|Alt+B
打开帮派界面的快捷键组合是哪一个？|Alt+B|Alt+T|Alt+R
快速组队的快捷键组合是哪一个？|Alt+T|Alt+B|Alt+R
当有陌生人给你发消息:告诉你中奖了|坚决不信，并向GM举报|半信半疑|相信，并且与对方联系
打开世界地图的快捷键组合是哪一个？|Alt+M|Alt+V|Alt+F
打开技能界面的快捷键组合是哪一个？|Alt+V|Alt+M|Alt+F
打开好友界面的快捷键组合是哪一个？|Alt+F|Alt+V|Alt+M
捕捉宠物之前,道具栏里必须有哪样道具？|乾坤绳|符纸|黄豆
在全屏与窗口模式之间切换的热键是|Alt+Enter|Shift+Enter|Ctrl+Enter
打开系统设置界面的热键是什么？|Alt+S|Alt+H|Ctrl+H
打开帮助系统的热键是什么？|Alt+H|Alt+M|Alt+F
隐藏界面的快捷键是什么？  |Alt+C|Alt+B|Alt+V
查看人物状态装备的热键是什么？|Alt+W|Alt+B|Alt+T
给予的快捷键是什么？|Alt+G|Alt+E|Alt+H
交易的快捷键是什么？|Alt+X|Alt+G|Alt+C
切换快捷栏的热键是什么？|Alt+A/Z|Alt+C/D|Alt+Q/W
切换锁定目标的热键是什么？|Tab|Shift|Alt
打开聊天表情的热键是什么？|Alt+~|Alt+R|Alt+V
屏蔽其他玩家的热键是什么？|F11|F10|F12
坐下的热键是什么？|Alt+2|Alt+3|Alt+4
复制鼠标指定玩家ID的热键是什么？|Ctrl+C|Alt+C|Shift+C
粘贴玩家ID到聊天栏中的热键是什么？|Ctrl+V|Alt+V|Alt+C
显示所有物品名称的热键是什么？|Alt|Shift|Ctrl
查看玩家简略信息的热键是什么？|Ctrl+左键|Ctrl+右键|Alt+右键
查看目标玩家装备的热键是什么？|Ctrl+右键|Alt+右键|Shift+右键
将物品复制到聊天框中的热键是什么？|Shift+左键|Shift+右键|Ctrl+右键
聊天框中点击玩家名字会弹出下拉菜单的热键是什么？|Shift+右键|Shift+左键|Ctrl+右键
所有菜单还原默认值的热键是什么？|F12|F10|F11
倒下姿势的快捷键是什么？|Alt+4|Alt+5|Alt+6
攻击姿势的快捷键是什么？|Alt+1|Alt+2|Alt+3
跑步姿势的快捷键是什么？|Alt+7|Alt+6|Alt+8
备战姿势的快捷键是什么？|Alt+8|Alt+7|Alt+6
宠物控制攻击的热键是什么？|Ctrl+1|Shift+1|Alt+1
游戏截图的热键是什么？|Print Screen|Scroll Lock|Pause
宠物跟随的热键是什么？|Ctrl+2|Ctrl+1|Ctrl+3
加200点气血的药物是什么？|行军散|活络丸|安神丸
加400点气血的药物是什么？|活络丸|行军散|安神丸
加450点法力的药物是什么？|安神丸|正气散|造化丹
在哪里可以存钱？|当铺老板|酒店老板|师爷
道具栏有多少格空间？|24|20|26
找到使命物品要交给谁才能拿到奖励？|卫队长|老村长|李大伯
装备耐久不够，可以找谁修复？|修理店老板|武器店老板|服装店老板
下面哪个地方不能获得使命物品？|周国|幽谷|新手村
药店老板处可买到的药品是？|活络丸|活心丹|救急丹
到哪里可以买保险？|周王|申公豹|神仙爷爷
新手村找谁可以建立师徒关系？|孟子|老村长|神仙爷爷
以下哪个不能问到购买本门装备的地方？|药店老板|师父|武器店老板
多少级才能在尉迟老镖头处接镖？|30|20|40
哪里可以精炼装备和合成晶石？|公输般|武器店老板|申公豹
封妖镜要求蓝装最低等级为多少？|15|25|35
多少级可以接师门任务？|10|15|20
运镖任务最低押金是多少？|6万|4万|8万
哪里可以领到双倍经验？|神仙爷爷|门派师父|功德老人
在哪里可以摆摊？|周国市集|周国天坛|新手村
谁知道云游商人的具体位置？|酒店老板|杂货店老板|药店老板
多少级才可以建立帮派？|40|30|50
在哪里可以结婚？|月老|红娘|神仙爷爷
在哪里可以学到炼丹技能？|魏国|韩国|赵国
在哪里可以学到铁匠技能？|秦国|楚国|燕国
哪里可以学到药师技能？|赵国|燕国|韩国
哪里可以学到矿冶技能？|燕国|赵国|齐国
哪里可以学到机关技能？|齐国|赵国|韩国
哪里可以学到裁缝技能？|韩国|秦国|魏国
哪里可以学到石刻技能？|楚国|燕国|赵国
哪里可以学到酒食技能？|周国|齐国|楚国
师爷任务主要获得的是什么？|潜能|经验|金钱
师门任务主要获得的是什么？|经验|潜能|金钱
玩家技能等级不能超过玩家自身等级多少级？|10|5|15
找谁可以放弃生活技能？|申公豹|神仙爷爷|门派师父
10
