#/npc/std/pet.c
SaveDatabase (["show_time":9,"ignore_level":1,])
SaveDbase2 ([])
Con 33
Spi 55
Str 20
Cps 38
Dex 19
HP (/216,432,/)
MP (/42,285,/)
HP_Cent 25
AP 63
DP 230
CP 261
PP 117
SP 34
mpPerform ([])
Family (/0,0,0,0,0,0,0,/)
Org (/0,0,0,0,0,0,0,/)
City (/0,0,0,0,0,0,0,/)
Skills (["74201":(/1,0,/),"74227":(/1,0,/),"74206":(/1,0,/),"74133":(/1,0,/),])
WeaponCode 60
Name "火精"
PicId 953
Owner 
OwnerNumber 247
Level 9
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
pet_id "247_1271059336"
FirstOwnerId 247
FirstOwnerName "海盗船长"
birthday 1271059336
OwnerTime 1271059336
FirstName "火精"
OwnerName "海盗船长"
OwnerAccount "30332192"
OwnerNumber 247
lifetime 8786
faith 68
blood 1
Experience 128
GiftPoint 16
iPortrait 953
con_grow 1330
str_grow 876
cps_grow 991
mp_grow 1194
ma_grow 970
md_grow 1070
dex_grow 1240
