#/inh/user/user.c
SaveDatabase (["tipstatus":({1101326,10356320,}),"dbtime_s":265,"new_sj":5,"login_count":0,"famrec":1,"tipsstatus":57122,"tips_status":8,"can_get_prize":0,])
SaveDbase2 (["task":(["story":1,]),"online_rank":(["start":1379914128,"time":692,"level":0,]),"hotkey":(["1":"14","9":"61","10":"51","2":"15","3":"61",]),"double_time":(["time3":0,"time2":0,"time":0,"week":2281,"freeze":0,"time1":0,]),])
Gender 2
StartPlace "1:(118,164)8"
Gift1 (/25,25,20,20,25,/)
Gift2 (/0,0,0,0,0,/)
Hair 1
HP (/102,102,/)
MP (/32,32,/)
AP 24
DP 43
CP 5
PP 48
SP 41
MaxYuan 1
Yuan 1
UpgradeExp 518
Experience 1876
Potential 175
GiftPoint 28
MaxLevel 7
Level 7
Cash 1803
max_pawn 1
ChatOpen 1
RumorOpen 1
CityOpen 1
OrgOpen 1
FamilyOpen 1
SayOpen 1
TeamOpen 1
TradeOpen 1
IdProtect ""
Legend ({6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,})
Legend2 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
Legend3 ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
mpTask ([])
mpQuest ([])
mpFly ([])
mpMascot ([])
mpChBlk ([])
mpLOG (["*npc":5,"&npc":1636,"#npc":5,])
Jobs ([])
mpPerform ([])
Family (/0,0,0,0,0,0,0,/)
Org (/0,0,0,0,0,0,0,/)
City (/0,0,0,0,0,0,0,/)
Skills ([])
Skills_0 ([])
Skills_1 ([])
Skills_2 ([])
Inventory ({"/item/01/7400;0;103;3877;3899;ap:11,?%:-300,ADD:,=:0,+:0,$:50,;[-]0,0","/item/09/0908;0;108;1099;1099;ADD:,=:1,+:0,$:0,;[-]0,0","/item/61/0001;0;6;2599;2599;dp:10,ADD:,=:0,+:0,$:80,;[-]0,0","/item/32/3282;5;5;[-]0,0","/item/49/4900;20;4;[-]0,0","/item/01/7600;0;1;[-]0,0","/item/08/0013;1;2;[-]0,0","/item/91/9111;10;3;[-]0,0",})
Friends ([])
Birthday 1379912494
GameTime 1132
DoubleTime 2277
FeeStart 1379914568
FeeTime 412
LoginTime 1379914128
QuitTime 1379914568
QuitIP "127.0.0.1"
Effect ({0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,})
BeastInfo ({"5_1379912494","5_1379912495",})
IdNumber 5
Id "corky"
Name "aimee"
Titles ({"X",})
cTitle ""
Apprentices ({})
