云游在2007-11-17 17:49:23 ，刷到530(158,150)附近。 
云游在2007-11-19 11:07:38 ，刷到512(127,180)附近。 
云游在2007-11-22 08:25:57 ，刷到524(158,150)附近。 
云游在2007-11-22 14:06:37 ，刷到512(127,180)附近。 
云游在2007-11-22 14:23:50 ，刷到512(127,180)附近。 
云游在2007-11-22 14:52:45 ，刷到530(158,150)附近。 
云游在2007-11-22 15:24:09 ，刷到502(181,168)附近。 
云游在2007-11-22 15:53:17 ，刷到512(127,180)附近。 
云游在2007-11-29 10:10:11 ，刷到528(165,92)附近。 
云游在2007-11-29 10:34:57 ，刷到516(93,143)附近。 
云游在2007-11-29 10:40:08 ，刷到528(165,92)附近。 
云游在2007-11-29 11:33:08 ，刷到502(181,168)附近。 
云游在2007-11-29 12:04:12 ，刷到524(158,150)附近。 
云游在2007-11-29 12:32:54 ，刷到524(158,150)附近。 
云游在2007-11-29 13:03:12 ，刷到512(127,180)附近。 
云游在2007-11-29 13:32:48 ，刷到528(165,92)附近。 
云游在2007-11-29 14:01:17 ，刷到511(116,128)附近。 
云游在2007-12-05 17:11:57 ，刷到528(165,92)附近。 
云游在2007-12-05 18:06:39 ，刷到512(127,180)附近。 
云游在2007-12-05 18:22:40 ，刷到528(165,92)附近。 
云游在2010-03-24 19:04:22 ，刷到502(181,168)附近。 
云游在2010-03-24 19:14:14 ，刷到524(158,150)附近。 
云游在2010-03-25 12:59:10 ，刷到530(158,150)附近。 
云游在2010-04-07 13:45:20 ，刷到524(158,150)附近。 
云游在2010-04-07 14:21:32 ，刷到530(158,150)附近。 
云游在2010-04-07 16:17:04 ，刷到530(158,150)附近。 
云游在2010-04-07 16:48:05 ，刷到502(181,168)附近。 
云游在2010-04-07 17:16:32 ，刷到502(181,168)附近。 
云游在2010-04-07 17:42:31 ，刷到502(181,168)附近。 
云游在2010-04-07 20:16:40 ，刷到502(181,168)附近。 
云游在2010-04-07 20:23:14 ，刷到502(181,168)附近。 
云游在2010-04-07 20:50:50 ，刷到512(127,180)附近。 
云游在2010-04-07 21:19:55 ，刷到530(158,150)附近。 
云游在2010-04-08 10:23:56 ，刷到528(165,92)附近。 
云游在2010-04-08 10:44:10 ，刷到516(93,143)附近。 
云游在2010-04-08 12:59:50 ，刷到530(158,150)附近。 
云游在2010-04-08 13:15:03 ，刷到524(158,150)附近。 
云游在2010-04-08 13:21:16 ，刷到502(181,168)附近。 
云游在2010-04-08 13:54:11 ，刷到524(158,150)附近。 
云游在2010-04-08 14:15:31 ，刷到530(158,150)附近。 
云游在2010-04-08 14:45:11 ，刷到526(212,110)附近。 
云游在2010-04-08 15:14:26 ，刷到516(93,143)附近。 
云游在2010-04-08 15:45:47 ，刷到511(116,128)附近。 
云游在2010-04-08 19:32:49 ，刷到530(158,150)附近。 
云游在2010-04-08 19:56:54 ，刷到512(127,180)附近。 
云游在2010-04-08 20:48:30 ，刷到516(93,143)附近。 
云游在2010-04-08 21:17:44 ，刷到530(158,150)附近。 
云游在2010-04-09 12:54:30 ，刷到528(165,92)附近。 
云游在2010-04-09 13:15:42 ，刷到511(116,128)附近。 
云游在2010-04-09 17:25:35 ，刷到524(158,150)附近。 
云游在2010-04-09 18:11:17 ，刷到524(158,150)附近。 
云游在2010-04-09 18:56:31 ，刷到511(116,128)附近。 
云游在2010-04-09 19:43:27 ，刷到526(212,110)附近。 
云游在2010-04-09 21:07:56 ，刷到512(127,180)附近。 
云游在2010-04-09 23:06:18 ，刷到502(181,168)附近。 
云游在2010-04-09 23:36:42 ，刷到528(165,92)附近。 
云游在2010-04-10 00:05:09 ，刷到528(165,92)附近。 
云游在2010-04-10 16:02:49 ，刷到512(127,180)附近。 
云游在2010-04-10 16:33:02 ，刷到516(93,143)附近。 
云游在2010-04-10 18:05:47 ，刷到511(116,128)附近。 
云游在2010-04-10 21:27:42 ，刷到511(116,128)附近。 
云游在2010-04-10 21:41:59 ，刷到524(158,150)附近。 
云游在2010-04-10 21:53:08 ，刷到511(116,128)附近。 
云游在2010-04-10 22:06:41 ，刷到526(212,110)附近。 
云游在2010-04-10 22:22:06 ，刷到528(165,92)附近。 
云游在2010-04-10 22:58:40 ，刷到530(158,150)附近。 
云游在2010-04-10 23:46:14 ，刷到516(93,143)附近。 
云游在2010-04-13 22:42:48 ，刷到524(158,150)附近。 
云游在2010-04-13 23:45:00 ，刷到502(181,168)附近。 
云游在2010-04-14 00:11:30 ，刷到528(165,92)附近。 
云游在2010-04-14 00:40:50 ，刷到524(158,150)附近。 
云游在2010-04-14 18:54:21 ，刷到524(158,150)附近。 
云游在2010-04-14 21:01:49 ，刷到528(165,92)附近。 
云游在2010-04-14 23:27:26 ，刷到512(127,180)附近。 
云游在2010-04-14 23:43:38 ，刷到530(158,150)附近。 
云游在2013-09-23 13:01:21 ，刷到524(158,150)附近。 
云游在2013-09-23 13:33:44 ，刷到512(127,180)附近。 
